Course Mnemonic,Course Title,Instructor,Room,Day(s) of the week,Start time,End time
DS 8998,Master's Level Thesis Research,Jianxin Xie,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Nur Yildirim,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Aiying Zhang,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,David Danks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Aaron Abrams,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Prince Afriyie,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Chirag Agarwal,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,YY Ahn,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Loreto Alonzi,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Rafael Alvarado,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Stephen Baek,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Hannah Bako,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Peter Beling,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jeffrey Blume,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Don Brown,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jordan Bryan,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Tyler Cody,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mai Dahshan,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Farhana Faruqe,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Judy Fox,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Alex Gates,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Daniel Graham,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Gianluca Guadagni,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Tom Hartvigsen,(0),TBA,TBA,TBA
DS 9999,Dissertation Research,Teague Henry,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mar Hicks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Terence Johnson,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jonathan Kropko,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Natalie Kupperman,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Lei Li,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Sheng Li,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Neal Magee,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Paul Perrin,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Michael Porter,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Javier Rasero,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jess Reia,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Heman Shakeri,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Karsten Siller,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mona Sloane,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Thomas Stewart,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Adam Tashman,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Stephen Turner,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,David Danks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,John Van Horn,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Brian Wright,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jianxin Xie,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Nur Yildirim,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Aiying Zhang,TBA,TBA,TBA,TBA
