Course Mnemonic,Course Title,Instructor,Room,Day(s) of the week,Start time,End time
DS 4125,Introduction to Deep Learning,Jianxin Xie,TBA,MoWeFr,10:00 AM,10:50 AM
DS 4320,Data by Design,Loreto Alonzi,TBA,MoWe,02:00 PM,03:15 PM
DS 4320,Data by Design,Loreto Alonzi,TBA,MoWe,03:30 PM,04:45 PM
DS 4993,Independent Study in Data Science,Alex Gates,TBA,TBA,TBA,TBA
DS 4993,Independent Study in Data Science,Stephen Baek,TBA,TBA,TBA,TBA
DS 5001,Text as Data,Rafael Alvarado,TBA,MoWeFr,11:00 AM,11:50 AM
DS 5007,Don't Invent The Torment Nexus: The History of Technology & Work,Mar Hicks,TBA,Tu,08:30 PM,09:30 PM
DS 5012,Computation for Data Science,Yuri Malitsky,TBA,We,08:30 PM,09:30 PM
DS 5023,Interactive Applications,Mai Dahshan,TBA,TuTh,12:30 PM,01:45 PM
DS 5030,Understanding Uncertainty,Jeffrey Woo,TBA,Tu,07:15 PM,08:15 PM
DS 5070,Deep Learning in Environmental Science,Antonios Mamalakis,TBA,TuTh,09:30 AM,10:45 AM
DS 5220,Advanced Cloud Computing,Neal Magee,TBA,MoWeFr,12:00 PM,12:50 PM
DS 6001,Data Engineering I: Data Pipeline Architecture,Jonathan Kropko,TBA,Tu,08:30 PM,09:30 PM
DS 6002,Ethics of Big Data I,Farhana Faruqe,TBA,TuTh,09:30 AM,10:45 AM
DS 6002,Ethics of Big Data I,Farhana Faruqe,TBA,TuTh,11:00 AM,12:15 PM
DS 6002,Ethics of Big Data I,Renee Cummings,TBA,Th,06:00 PM,07:00 PM
DS 6002,Ethics of Big Data I,Renee Cummings,TBA,Th,06:00 PM,07:00 PM
DS 6015,Data Science Capstone,Philip Waggoner,TBA,Th,07:15 PM,09:15 PM
DS 6015,Data Science Capstone,Rafael Alvarado,TBA,Th,07:15 PM,09:15 PM
DS 6015,Data Science Capstone,Adam Tashman,TBA,Th,07:15 PM,09:15 PM
DS 6021,Machine Learning I: Introduction to Predictive Modeling,Jeffrey Woo,TBA,We,07:15 PM,08:15 PM
